f1,f2
0.4662,2.1679
0.4367,2.3034
0.5290,1.8905
0.5920,1.6891
0.6001,1.6664
0.7606,1.3370
0.7486,1.3681
0.7276,1.3820
0.5286,1.9458
0.7887,1.2981
0.5724,1.7681
0.4776,2.1166
0.5036,1.9858
0.6380,1.5802
0.7193,1.3903
0.7356,1.3594
0.5840,1.7514
0.7194,1.3977
0.7854,1.2908
0.6550,1.5351
0.5394,1.8616
0.6427,1.5559
0.5154,1.9653
0.6097,1.6402
0.7089,1.4107
0.5844,1.7197
0.5464,1.8300
0.5600,1.8105
0.7722,1.3244
0.7490,1.3464
0.7933,1.2646
0.6036,1.6568
0.6358,1.5842
0.4332,2.3476
0.4826,2.0719
0.6759,1.5081
0.7136,1.4159
0.5408,1.8492
0.5010,1.9959
0.8016,1.2475
0.5409,1.8486
0.5573,1.8180
0.5513,1.8536
0.5456,1.8329
0.5780,1.7445
0.5147,1.9427
0.5624,1.7942
0.5266,1.8991
0.6282,1.6027
0.7277,1.3743
0.5365,1.8967
0.6522,1.5451
0.4697,2.1291
0.5189,1.9762
0.8373,1.2440
0.5252,1.9124
0.5636,1.7743
0.5695,1.7955
0.6712,1.4943
0.6633,1.5075
0.7496,1.3458
0.6644,1.5051
0.7484,1.3594
0.6504,1.5375
0.7127,1.4059
0.6570,1.5341
0.6013,1.6638
0.4930,2.0308
0.7179,1.3988
0.7327,1.3824
0.5363,1.8826
0.6310,1.6171
0.7530,1.3307
0.7743,1.2915
0.5277,1.8961
0.6857,1.4661
0.6609,1.5196
0.6044,1.6637
0.4509,2.3017
0.6894,1.4690
0.7713,1.3203
0.7493,1.3437
0.5118,1.9866
0.6839,1.5206
0.5819,1.7446
0.5960,1.7007
0.4844,2.0767
0.7747,1.3020
0.6017,1.6934
0.5798,1.7248
0.6317,1.5829
0.5167,1.9619
0.5525,1.8101
0.5190,1.9520
0.5941,1.6960
0.6956,1.4376
0.6893,1.4508
0.5087,2.0210
0.5805,1.7228
0.7448,1.3427
0.4682,2.1638
0.5720,1.7514
0.5797,1.7311
0.7041,1.4203
0.8011,1.2701
0.7047,1.4190
0.6767,1.4791
0.6219,1.6161
0.6740,1.4881
0.5627,1.8105
0.6298,1.5879
0.4954,2.0424
0.7618,1.3295
0.5773,1.7321
0.5690,1.7826
0.7177,1.4362
0.7856,1.2729
0.7005,1.4517
0.7322,1.3746
0.7784,1.3052
0.7611,1.3138
0.5461,1.8376
0.6173,1.6199
0.7484,1.3362
0.6971,1.4346
0.5522,1.8521
0.7635,1.3234
0.5686,1.7587
0.5477,1.8290
0.7484,1.3581
0.6017,1.6620
0.6990,1.4471
0.5318,1.8942
0.6170,1.6618
0.7099,1.4115
0.5021,1.9915
0.6095,1.6408
0.4824,2.1271
0.6575,1.5209
0.6720,1.5000
0.8051,1.2577
0.6508,1.5483
0.7566,1.3218
0.7474,1.3380
0.5420,1.8450
0.5844,1.7341
0.6110,1.6756
0.5372,1.9062
0.7014,1.4613
0.4649,2.1511
0.7106,1.4109
0.5854,1.7082
0.6685,1.4958
0.7319,1.3777
0.6798,1.4710
0.5692,1.7779
0.5999,1.6793
0.5372,1.8966
0.7646,1.3330
0.6029,1.6845
0.5469,1.8558
0.3803,2.6528
0.7674,1.3060
0.5007,1.9992
0.4740,2.1238
0.4950,2.0245
0.5708,1.7573
0.8113,1.2509
0.6175,1.6350
0.4891,2.0525
0.5249,1.9147
0.7460,1.3405
0.5203,1.9293
0.5595,1.7872
0.4383,2.2869
0.6308,1.6005
0.5209,1.9357
0.7436,1.3664
0.7416,1.3484
0.6389,1.5903
0.7945,1.2665
0.6629,1.5085
0.6999,1.4289
0.5751,1.7716
0.5453,1.8339
0.5420,1.8745
0.7317,1.3667
0.5859,1.7066
0.5564,1.8083
0.7514,1.3362
0.7764,1.3113
0.4423,2.2610
0.7497,1.3339
0.6286,1.6021
0.6478,1.5443
0.6693,1.4940
0.6228,1.6603
0.7848,1.2917
0.7931,1.2755
0.6206,1.6336
0.5784,1.7289
0.6690,1.4947
0.6300,1.5896
0.5224,1.9206
0.7336,1.3631
0.4849,2.1185
0.6675,1.5202
0.7807,1.3085
0.6049,1.6697
0.7722,1.3226
0.7899,1.2763
0.7406,1.3853
0.7077,1.4240
0.5515,1.8411
0.5672,1.7630
0.5521,1.8187
0.7574,1.3206
0.7795,1.2870
0.7799,1.2829
0.5509,1.8503
0.6780,1.4864
0.6399,1.5627
0.5534,1.8386
0.7810,1.2897
0.6860,1.4718
0.6127,1.6464
0.6156,1.6244
0.6184,1.6170
0.7651,1.3194
0.5601,1.7960
0.5763,1.7529
0.7999,1.2594
0.5674,1.8132
0.5355,1.8675
0.6808,1.4756
0.4868,2.0541
0.7415,1.3578
0.7900,1.2817
0.5611,1.7821
0.6417,1.5922
0.7746,1.3009
0.5725,1.7616
0.6655,1.5027
0.6898,1.4496
0.5649,1.7702
0.6289,1.5901
0.6420,1.5639
0.8291,1.2061
0.5508,1.8830
0.5377,1.8598
0.7060,1.4365
0.4725,2.1164
0.7534,1.3514
0.5515,1.8153
0.5681,1.7603
0.6897,1.4623
0.7011,1.4263
0.5395,1.8536
0.5691,1.7570
0.6311,1.5993
0.5021,2.0031
0.5958,1.6783
0.5263,1.9446
0.5915,1.6905
0.6748,1.4819
0.5982,1.6918
0.4613,2.1876
0.5636,1.7968
0.6104,1.6590
0.5253,1.9038
0.7383,1.3545
0.7318,1.3665
0.6578,1.5536
0.5809,1.7216
0.6082,1.6572
0.6823,1.4657
0.5076,1.9983
0.5895,1.6962
0.6013,1.6736
0.5597,1.7866
0.4706,2.1680
0.5164,1.9366
0.6489,1.5410
0.6727,1.4901
0.5409,1.8521
0.5566,1.7967
0.7384,1.3714
0.6854,1.4590
0.6578,1.5445
0.7580,1.3283
0.5767,1.7339
0.5318,1.8804
0.6474,1.5468
0.6163,1.6425
0.7610,1.3141
0.5545,1.8036
0.5751,1.7388
0.6086,1.6952
0.5307,1.8846
0.5094,1.9631
0.6746,1.4824
0.5556,1.8207
0.6792,1.4722
0.5282,1.8932
0.5243,1.9407
0.5961,1.6776
