x1,x2
0.5240,0.0460
0.3152,0.0000
0.1000,0.0965
0.6401,0.0000
0.9546,0.0000
0.7618,0.0495
0.7592,0.0000
0.5594,0.0000
1.0000,0.0365
0.3584,0.0881
0.4744,0.0000
0.1164,0.0681
0.5944,0.0661
0.9470,0.1203
0.2623,0.0000
0.8017,0.0921
0.4596,0.0000
0.8773,0.2555
0.8310,0.0102
0.4856,0.1247
0.5863,0.0000
0.3342,0.3171
0.5664,0.0161
0.3850,0.1815
0.6684,0.1788
0.3170,0.0148
0.1284,0.0000
0.7616,0.0448
0.9634,0.0000
0.6292,0.0000
0.7362,0.1558
0.5932,0.1171
0.2820,0.0671
0.7611,0.0000
0.6245,0.0995
0.2702,0.0000
0.6054,0.0000
0.5849,0.0000
0.3996,0.0000
0.8210,0.0000
0.5959,0.1036
0.3278,0.2268
0.3274,0.2247
0.5964,0.0000
0.2927,0.0000
0.4432,0.2143
0.7038,0.3236
0.4849,0.1065
0.3508,0.0198
0.2988,0.0000
0.4552,0.0000
0.3232,0.0557
0.2664,0.0240
0.6655,0.0000
0.8741,0.0837
0.4465,0.0902
0.5359,0.0000
0.2408,0.0000
0.6905,0.0000
0.1000,0.2263
0.7101,0.0087
0.7718,0.0000
0.1000,0.0000
0.8118,0.0804
0.6021,0.0630
0.3825,0.0015
0.1000,0.1028
0.6237,0.0522
0.1000,0.0425
0.2398,0.0145
0.6555,0.0000
0.6145,0.0000
1.0000,0.0000
1.0000,0.1370
0.7103,0.0363
0.4940,0.0042
0.5472,0.0000
0.3178,0.0438
0.8166,0.1425
0.2133,0.0012
0.3008,0.0978
0.4820,0.0456
0.3228,0.0000
0.7180,0.0000
0.3811,0.0000
0.9532,0.0000
0.1042,0.0000
